x_bin,y_bin,batch_start_t
0,43,4470140
1,43,4470140
0,43,4480024
1,42,4480024
1,43,4480024
2,42,4480024
2,43,4480024
3,41,4480024
3,42,4480024
3,43,4480024
4,42,4480024
5,42,4480024
6,41,4480024
6,42,4480024
6,41,4490001
7,41,4490001
7,42,4490001
8,41,4490001
9,40,4490001
9,41,4490001
10,40,4490001
10,41,4490001
11,41,4490001
10,41,4500005
12,40,4500005
13,40,4500005
13,41,4500005
14,40,4500005
14,41,4500005
15,40,4500005
16,40,4500005
17,40,4500005
18,40,4500005
17,39,4510004
18,39,4510004
18,40,4510004
19,39,4510004
19,40,4510004
20,39,4510004
21,39,4510004
22,39,4510004
23,39,4510004
22,39,4520002
23,38,4520002
23,39,4520002
24,38,4520002
24,39,4520002
25,38,4520002
25,39,4520002
26,38,4520002
26,39,4520002
27,38,4520002
27,39,4520002
28,38,4520002
29,38,4520002
27,38,4530003
28,38,4530003
29,38,4530003
30,37,4530003
30,38,4530003
31,37,4530003
31,38,4530003
32,37,4530003
32,38,4530003
33,37,4530003
33,38,4530003
34,37,4530003
35,37,4530003
32,37,4540001
33,37,4540001
34,37,4540001
35,37,4540001
36,36,4540001
36,37,4540001
37,36,4540001
37,37,4540001
38,36,4540001
38,37,4540001
39,36,4540001
39,37,4540001
40,36,4540001
40,36,4550002
40,37,4550002
41,36,4550002
41,37,4550002
42,36,4550002
43,36,4550002
44,36,4550002
45,36,4550002
43,36,4560004
44,36,4560004
45,36,4560004
46,35,4560004
46,36,4560004
47,35,4560004
47,36,4560004
48,35,4560004
48,36,4560004
49,35,4560004
49,36,4560004
50,35,4560004
50,36,4560004
51,35,4560004
49,35,4570001
50,35,4570001
51,35,4570001
51,36,4570001
52,35,4570001
53,35,4570001
54,35,4570001
55,34,4570001
55,35,4570001
56,34,4570001
56,35,4570001
54,35,4580001
55,35,4580001
56,34,4580001
56,35,4580001
57,34,4580001
57,35,4580001
58,34,4580001
58,35,4580001
59,34,4580001
59,35,4580001
60,34,4580001
60,35,4580001
61,34,4580001
62,34,4580001
60,34,4590001
60,35,4590001
61,34,4590001
61,35,4590001
62,34,4590001
62,35,4590001
63,34,4590001
63,35,4590001
64,33,4590001
64,34,4590001
64,35,4590001
65,33,4590001
65,34,4590001
66,33,4590001
66,34,4590001
67,33,4590001
67,34,4590001
64,34,4600009
65,34,4600009
66,33,4600009
66,34,4600009
67,33,4600009
67,34,4600009
68,33,4600009
68,34,4600009
69,33,4600009
69,34,4600009
70,33,4600009
70,34,4600009
71,33,4600009
71,34,4600009
72,33,4600009
72,34,4600009
70,33,4610005
70,34,4610005
71,33,4610005
71,34,4610005
72,33,4610005
72,34,4610005
73,32,4610005
73,33,4610005
73,34,4610005
74,32,4610005
74,33,4610005
74,34,4610005
75,32,4610005
75,33,4610005
75,34,4610005
76,32,4610005
76,33,4610005
76,34,4610005
77,32,4610005
77,33,4610005
78,32,4610005
78,33,4610005
75,33,4620001
76,33,4620001
76,34,4620001
77,33,4620001
77,34,4620001
78,32,4620001
78,33,4620001
79,32,4620001
79,33,4620001
80,32,4620001
80,33,4620001
81,32,4620001
81,33,4620001
82,32,4620001
82,33,4620001
83,32,4620001
81,32,4630000
81,33,4630000
82,32,4630000
82,33,4630000
83,32,4630000
83,33,4630000
84,32,4630000
84,33,4630000
85,32,4630000
85,33,4630000
86,31,4630000
86,32,4630000
86,33,4630000
87,31,4630000
87,32,4630000
88,31,4630000
88,32,4630000
89,32,4630000
86,32,4640001
87,32,4640001
87,33,4640001
88,32,4640001
88,33,4640001
89,31,4640001
89,32,4640001
89,33,4640001
90,31,4640001
90,32,4640001
91,31,4640001
91,32,4640001
92,31,4640001
92,32,4640001
93,31,4640001
93,32,4640001
94,31,4640001
94,32,4640001
91,32,4650000
92,32,4650000
93,31,4650000
93,32,4650000
94,31,4650000
94,32,4650000
95,31,4650000
95,32,4650000
96,31,4650000
96,32,4650000
97,31,4650000
97,32,4650000
98,31,4650000
98,32,4650000
99,31,4650000
97,31,4660004
97,32,4660004
98,31,4660004
98,32,4660004
99,31,4660004
99,32,4660004
