x,y,t
0,46,8490171
0,47,8490171
0,48,8490171
1,46,8490171
1,47,8490171
1,48,8490171
2,46,8490171
2,47,8490171
2,48,8490171
3,46,8490171
3,47,8490171
3,48,8490171
4,46,8490171
4,47,8490171
5,46,8490171
5,47,8490171
6,46,8490171
6,47,8490171
7,46,8490171
7,47,8490171
2,48,8500009
3,47,8500009
4,47,8500009
5,46,8500009
5,47,8500009
5,48,8500009
6,46,8500009
6,47,8500009
7,46,8500009
7,47,8500009
8,46,8500009
8,47,8500009
9,46,8500009
9,47,8500009
10,46,8500009
10,47,8500009
11,46,8500009
11,47,8500009
12,46,8500009
12,47,8500009
13,46,8500009
13,47,8500009
14,46,8500009
15,46,8500009
12,46,8510009
12,47,8510009
13,46,8510009
13,47,8510009
14,46,8510009
14,47,8510009
15,46,8510009
15,47,8510009
16,45,8510009
16,46,8510009
16,47,8510009
17,45,8510009
17,46,8510009
17,47,8510009
18,45,8510009
18,46,8510009
18,47,8510009
19,45,8510009
19,46,8510009
19,47,8510009
20,45,8510009
20,46,8510009
21,45,8510009
21,46,8510009
22,45,8510009
22,46,8510009
23,45,8510009
23,46,8510009
24,45,8510009
24,46,8510009
20,46,8520002
21,46,8520002
22,45,8520002
22,46,8520002
23,45,8520002
23,46,8520002
24,45,8520002
24,46,8520002
25,45,8520002
25,46,8520002
26,45,8520002
26,46,8520002
27,45,8520002
27,46,8520002
28,45,8520002
28,46,8520002
29,45,8520002
29,46,8520002
30,45,8520002
30,46,8520002
31,45,8520002
32,45,8520002
28,45,8530004
28,46,8530004
29,45,8530004
29,46,8530004
30,45,8530004
30,46,8530004
31,45,8530004
31,46,8530004
32,45,8530004
32,46,8530004
33,44,8530004
33,45,8530004
33,46,8530004
34,44,8530004
34,45,8530004
34,46,8530004
35,44,8530004
35,45,8530004
35,46,8530004
36,44,8530004
36,45,8530004
36,46,8530004
37,44,8530004
37,45,8530004
38,44,8530004
38,45,8530004
39,44,8530004
39,45,8530004
40,44,8530004
40,45,8530004
36,45,8540002
37,45,8540002
38,45,8540002
39,44,8540002
39,45,8540002
40,44,8540002
40,45,8540002
41,44,8540002
41,45,8540002
42,44,8540002
42,45,8540002
43,44,8540002
43,45,8540002
44,44,8540002
44,45,8540002
45,44,8540002
45,45,8540002
46,44,8540002
46,45,8540002
47,44,8540002
47,45,8540002
48,44,8540002
48,45,8540002
44,45,8550020
45,44,8550020
45,45,8550020
46,44,8550020
46,45,8550020
47,44,8550020
47,45,8550020
48,44,8550020
48,45,8550020
49,44,8550020
49,45,8550020
50,44,8550020
50,45,8550020
51,44,8550020
51,45,8550020
52,44,8550020
52,45,8550020
53,43,8550020
53,44,8550020
53,45,8550020
54,44,8550020
55,43,8550020
55,44,8550020
56,43,8550020
56,44,8550020
51,44,8560002
52,44,8560002
52,45,8560002
53,44,8560002
54,44,8560002
55,44,8560002
56,43,8560002
56,44,8560002
57,43,8560002
57,44,8560002
58,43,8560002
58,44,8560002
59,43,8560002
59,44,8560002
60,43,8560002
60,44,8560002
61,43,8560002
61,44,8560002
62,43,8560002
62,44,8560002
63,43,8560002
63,44,8560002
64,43,8560002
64,44,8560002
60,44,8570008
61,43,8570008
61,44,8570008
62,43,8570008
62,44,8570008
63,43,8570008
63,44,8570008
64,43,8570008
64,44,8570008
65,43,8570008
65,44,8570008
66,43,8570008
66,44,8570008
67,43,8570008
67,44,8570008
68,43,8570008
68,44,8570008
69,43,8570008
69,44,8570008
70,43,8570008
70,44,8570008
71,43,8570008
71,44,8570008
72,43,8570008
73,43,8570008
68,43,8580003
69,43,8580003
69,44,8580003
70,43,8580003
70,44,8580003
71,43,8580003
71,44,8580003
72,43,8580003
73,43,8580003
73,44,8580003
74,43,8580003
74,44,8580003
75,42,8580003
75,43,8580003
76,43,8580003
77,43,8580003
78,42,8580003
78,43,8580003
79,42,8580003
79,43,8580003
80,43,8580003
81,43,8580003
76,43,8590000
77,43,8590000
78,43,8590000
79,43,8590000
80,43,8590000
81,42,8590000
81,43,8590000
82,42,8590000
82,43,8590000
83,42,8590000
83,43,8590000
84,42,8590000
84,43,8590000
85,42,8590000
85,43,8590000
86,42,8590000
86,43,8590000
87,42,8590000
87,43,8590000
88,42,8590000
88,43,8590000
89,42,8590000
89,43,8590000
85,43,8600001
86,42,8600001
86,43,8600001
87,42,8600001
87,43,8600001
88,42,8600001
88,43,8600001
89,42,8600001
89,43,8600001
90,42,8600001
90,43,8600001
91,42,8600001
91,43,8600001
92,42,8600001
92,43,8600001
93,42,8600001
93,43,8600001
94,42,8600001
94,43,8600001
95,42,8600001
95,43,8600001
96,42,8600001
96,43,8600001
97,42,8600001
97,43,8600001
